time,FishingZone,ekman_upwelling
2024-01-01,Zone 1,-2.040964289937987e-06
2024-01-01,Zone 2,-1.888799307537019e-06
2024-01-01,Zone 3,-4.2340346662427797e-07
2024-01-01,Zone 4,-1.2248703758849018e-06
2024-01-01,Zone 5,-1.1387568852646673e-06
2024-01-01,Zone 6,-5.401777054800179e-07
2024-01-01,Zone 7,-7.898471194724125e-07
2024-02-01,Zone 1,-1.8028370426126268e-06
2024-02-01,Zone 2,-3.7962692402286277e-07
2024-02-01,Zone 3,-4.284407297654884e-07
2024-02-01,Zone 4,1.2986977157577119e-06
2024-02-01,Zone 5,4.3979999407093704e-07
2024-02-01,Zone 6,-3.860729951219565e-08
2024-02-01,Zone 7,-2.0422661795888344e-07
2024-03-01,Zone 1,-1.6195279588747552e-06
2024-03-01,Zone 2,-1.8789566543259233e-06
2024-03-01,Zone 3,5.896189368751163e-07
2024-03-01,Zone 4,-6.705000694622649e-07
2024-03-01,Zone 5,-2.585783047394154e-07
2024-03-01,Zone 6,-4.526831176707594e-07
2024-03-01,Zone 7,4.1039692708232604e-07
2024-04-01,Zone 1,-1.88597039075989e-07
2024-04-01,Zone 2,-1.0504051053832489e-06
2024-04-01,Zone 3,1.1512135889635316e-06
2024-04-01,Zone 4,1.2562226980758888e-06
2024-04-01,Zone 5,-6.592751806107012e-07
2024-04-01,Zone 6,-5.065113402415703e-07
2024-04-01,Zone 7,1.4502899944221295e-06
2024-05-01,Zone 1,4.6560648393265697e-07
2024-05-01,Zone 2,-9.032837674170464e-07
2024-05-01,Zone 3,1.4240870583487488e-06
2024-05-01,Zone 4,-7.254600872197327e-08
2024-05-01,Zone 5,-1.9099385453632156e-08
2024-05-01,Zone 6,-2.3714053682857396e-07
2024-05-01,Zone 7,1.2292119349953422e-06
2024-06-01,Zone 1,-5.525370495109406e-09
2024-06-01,Zone 2,-1.0962141395550034e-06
2024-06-01,Zone 3,1.5463682688250304e-06
2024-06-01,Zone 4,-6.99712574640685e-07
2024-06-01,Zone 5,-1.2620984877461683e-06
2024-06-01,Zone 6,-2.2052926491470586e-07
2024-06-01,Zone 7,1.468144003201876e-06
2024-07-01,Zone 1,1.481059112626368e-07
2024-07-01,Zone 2,9.838794785230148e-07
2024-07-01,Zone 3,1.552696303781814e-06
2024-07-01,Zone 4,2.5463526680718046e-07
2024-07-01,Zone 5,-5.085842645178299e-07
2024-07-01,Zone 6,-5.079802524134254e-07
2024-07-01,Zone 7,1.0623039238304418e-06
2024-08-01,Zone 1,1.0885994588693995e-06
2024-08-01,Zone 2,-9.143935373855002e-08
2024-08-01,Zone 3,1.1162645555749195e-06
2024-08-01,Zone 4,-7.616494410689677e-07
2024-08-01,Zone 5,-9.224038721003134e-07
2024-08-01,Zone 6,-6.647637569633742e-07
2024-08-01,Zone 7,2.276218944627198e-07
2024-09-01,Zone 1,7.754328634081875e-07
2024-09-01,Zone 2,-1.352001114436804e-06
2024-09-01,Zone 3,2.2758750303402772e-06
2024-09-01,Zone 4,-8.824327250974558e-07
2024-09-01,Zone 5,-2.9925001327281065e-07
2024-09-01,Zone 6,-3.140435440491436e-07
2024-09-01,Zone 7,8.212037493826996e-07
2024-10-01,Zone 1,-5.954821900663555e-07
2024-10-01,Zone 2,-1.2935640497518577e-06
2024-10-01,Zone 3,1.3606834199046435e-06
2024-10-01,Zone 4,-6.89629979840312e-07
2024-10-01,Zone 5,-2.761266452207847e-07
2024-10-01,Zone 6,-2.993486589377887e-07
2024-10-01,Zone 7,4.6963317291453064e-07
2024-11-01,Zone 1,-2.114101116001849e-06
2024-11-01,Zone 2,-6.992757518830633e-07
2024-11-01,Zone 3,-1.04376206747121e-06
2024-11-01,Zone 4,-1.030385557340835e-06
2024-11-01,Zone 5,-1.8244183519022413e-06
2024-11-01,Zone 6,-1.1052718077597159e-06
2024-11-01,Zone 7,-9.667436996368254e-07
2024-12-01,Zone 1,-1.7466219536063731e-06
2024-12-01,Zone 2,-2.173350538177835e-06
2024-12-01,Zone 3,-4.260220623060635e-07
2024-12-01,Zone 4,-1.327214938948766e-06
2024-12-01,Zone 5,-8.269936510374321e-07
2024-12-01,Zone 6,-8.386644795136352e-07
2024-12-01,Zone 7,-9.065318530706978e-07
2025-01-01,Zone 1,-4.110492017497927e-07
2025-01-01,Zone 2,7.69561306181212e-07
2025-01-01,Zone 3,5.113490909406248e-07
2025-01-01,Zone 4,-8.015619810009248e-07
2025-01-01,Zone 5,-6.198225463851201e-07
2025-01-01,Zone 6,-2.9369820006766017e-07
2025-01-01,Zone 7,2.5413728854524843e-07
2025-02-01,Zone 1,-3.0583200028390424e-06
2025-02-01,Zone 2,-2.1999708219726163e-07
2025-02-01,Zone 3,1.878830407685509e-06
2025-02-01,Zone 4,-1.2926387346461538e-06
2025-02-01,Zone 5,-8.822771063686701e-07
2025-02-01,Zone 6,-9.003671674040222e-07
2025-02-01,Zone 7,9.196821483621664e-07
2025-03-01,Zone 1,-1.2933310954988448e-06
2025-03-01,Zone 2,-1.962147663277004e-06
2025-03-01,Zone 3,-1.1071449770684476e-06
2025-03-01,Zone 4,-1.4786276354650557e-06
2025-03-01,Zone 5,-6.974838219591692e-07
2025-03-01,Zone 6,-3.484100043841707e-07
2025-03-01,Zone 7,-1.098926394738271e-06
2025-04-01,Zone 1,-3.111938490749604e-07
2025-04-01,Zone 2,9.15961476654877e-07
2025-04-01,Zone 3,1.7959810938186927e-06
2025-04-01,Zone 4,-1.8473293763066926e-07
2025-04-01,Zone 5,1.1262540988220162e-07
2025-04-01,Zone 6,-3.554979349815129e-07
2025-04-01,Zone 7,1.4228830580435112e-06
2025-05-01,Zone 1,-2.057593961177743e-06
2025-05-01,Zone 2,-7.103036893138499e-07
2025-05-01,Zone 3,-4.5356505053898786e-07
2025-05-01,Zone 4,-1.3849453879355058e-06
2025-05-01,Zone 5,-2.574527456442327e-07
2025-05-01,Zone 6,-1.7783689299997077e-07
2025-05-01,Zone 7,-1.9915028201064707e-07
2025-06-01,Zone 1,-3.431153051808006e-07
2025-06-01,Zone 2,2.539366281061247e-07
2025-06-01,Zone 3,1.023045317557726e-06
2025-06-01,Zone 4,-1.2044591549298742e-06
2025-06-01,Zone 5,-6.425557265052687e-07
2025-06-01,Zone 6,-4.210469478403108e-07
2025-06-01,Zone 7,9.008797332461189e-07
2025-07-01,Zone 1,1.4292465623489006e-06
2025-07-01,Zone 2,7.608657150973079e-07
2025-07-01,Zone 3,1.7692952696559112e-06
2025-07-01,Zone 4,-4.829120252786464e-07
2025-07-01,Zone 5,-3.271729816320977e-07
2025-07-01,Zone 6,-5.624928591206125e-07
2025-07-01,Zone 7,1.2856273349835885e-06
2025-08-01,Zone 1,8.999852839314765e-07
